x=chi_perp	y=chi_par	z=eta	v=Mtot	data=Log10[Mean[Mismatch]]	Overall_Training_Rel.Diff. = 0.00484009
x=chi_perp	y=chi_par	z=eta	v=Mtot	Overall_chiSqDoF. = 0.589013	Overall_reduced_Rsq = 0.989309
Coefs_below_for_fit(x,y,z,v)	Use_these_directly	x=x	y=y	z=z	v=v
i	j	k	l	C[i,j,k,l]	Max[Log10[Mismatch]]
1	0	1	3	-19.384326655838084	-1.0242218345101302
1	0	2	0	243924.8587628473	-1.0242218345101302
1	0	2	1	5088.7603859496085	-1.0242218345101302
1	0	2	2	224833.80964008454	-1.0242218345101302
1	0	2	3	3153.473850599116	-1.0242218345101302
1	1	0	0	-19620.559266820543	-1.0242218345101302
1	1	0	1	24.266434021028573	-1.0242218345101302
1	1	0	3	-158.12320978219694	-1.0242218345101302
1	1	1	0	176266.40071241546	-1.0242218345101302
1	1	1	1	-1975.4187606792677	-1.0242218345101302
1	1	1	2	87351.68133950549	-1.0242218345101302
1	1	1	3	1279.3169120027128	-1.0242218345101302
1	1	2	0	-232945.6875886875	-1.0242218345101302
1	1	2	1	-740.7000456380695	-1.0242218345101302
1	1	2	2	81278.94028033043	-1.0242218345101302
1	1	2	3	-2548.4135868490957	-1.0242218345101302
1	2	0	0	-195812.0315646447	-1.0242218345101302
1	2	0	1	-1808.3070779311438	-1.0242218345101302
1	2	0	3	361.147677015883	-1.0242218345101302
1	2	1	0	-281906.5384198501	-1.0242218345101302
1	2	1	1	-1093.4324007536402	-1.0242218345101302
1	2	1	2	74958.86305031148	-1.0242218345101302
1	2	1	3	-3012.395222274399	-1.0242218345101302
1	2	2	0	1.8485332107523938e6	-1.0242218345101302
1	2	2	1	44327.625734431036	-1.0242218345101302
1	2	2	2	-1.7746341788519123e6	-1.0242218345101302
1	2	2	3	-8928.990109455906	-1.0242218345101302
1	3	0	0	127119.26412613443	-1.0242218345101302
1	3	0	1	975.8396090015694	-1.0242218345101302
1	3	0	3	49.34755141688579	-1.0242218345101302
1	3	1	0	-223439.83420006206	-1.0242218345101302
1	3	1	1	7616.341201330868	-1.0242218345101302
1	3	1	2	298.3703816551201	-1.0242218345101302
1	3	1	3	-558.358792541856	-1.0242218345101302
1	3	2	0	-1.2314164461640571e6	-1.0242218345101302
1	3	2	1	-59351.03610968129	-1.0242218345101302
1	3	2	2	24941.492890171172	-1.0242218345101302
1	3	2	3	-12179.044784662294	-1.0242218345101302
2	0	0	0	55079.78665617505	-1.0242218345101302
2	0	0	1	744.0739687012027	-1.0242218345101302
2	0	0	3	254.82732426263232	-1.0242218345101302
2	0	1	0	554233.7302187578	-1.0242218345101302
2	0	1	1	1213.909168604586	-1.0242218345101302
2	0	1	2	-39904.31670731479	-1.0242218345101302
2	0	1	3	-87.68794458262197	-1.0242218345101302
2	0	2	0	1.2519941063017973e6	-1.0242218345101302
2	0	2	1	25078.309052530043	-1.0242218345101302
2	0	2	2	485640.35517285473	-1.0242218345101302
2	0	2	3	2521.31599883061	-1.0242218345101302
2	1	0	0	20021.564624674906	-1.0242218345101302
2	1	0	1	-465.65621760998437	-1.0242218345101302
2	1	0	3	314.36092404722876	-1.0242218345101302
2	1	1	0	315898.08220385265	-1.0242218345101302
2	1	1	1	2499.924229708096	-1.0242218345101302
2	1	1	2	514901.2797796337	-1.0242218345101302
2	1	1	3	-3249.6322296205008	-1.0242218345101302
2	1	2	0	-884578.7003831569	-1.0242218345101302
2	1	2	1	-24658.182711015867	-1.0242218345101302
2	1	2	2	-1.1560881141289454e6	-1.0242218345101302
