x=chi_perp	y=chi_par	z=eta	v=Mtot	data=Log10[Mean[Mismatch]]	Overall_Training_Rel.Diff. = 0.00507569
x=chi_perp	y=chi_par	z=eta	v=Mtot	Overall_chiSqDoF. = 0.65691	Overall_reduced_Rsq = 0.989687
Coefs_below_for_fit(x,y,z,v)	Use_these_directly	x=x	y=y	z=z	v=v
i	j	k	l	C[i,j,k,l]	Max[Log10[Mismatch]]
2	1	1	1	-608.3894474335962	-1.1889296889307692
2	1	1	2	-15460.09826327799	-1.1889296889307692
2	1	1	3	-779.9643728685592	-1.1889296889307692
2	1	2	0	360466.706444223	-1.1889296889307692
2	1	2	1	-2625.574800039836	-1.1889296889307692
2	1	2	2	-5248.391458331852	-1.1889296889307692
2	1	2	3	5431.383244989688	-1.1889296889307692
2	2	0	0	289148.4534616076	-1.1889296889307692
2	2	0	1	2930.7144144461486	-1.1889296889307692
2	2	0	3	-7.450565736842851e-9	-1.1889296889307692
2	2	1	0	1.0438127257581695e6	-1.1889296889307692
2	2	1	1	10382.926102200636	-1.1889296889307692
2	2	1	2	-3.563946622427533e-8	-1.1889296889307692
2	2	1	3	-7.450605789721566e-9	-1.1889296889307692
2	2	2	0	6.443641312931522e6	-1.1889296889307692
2	2	2	1	162703.8573989481	-1.1889296889307692
2	2	2	2	-2.6148362255344454e-8	-1.1889296889307692
2	2	2	3	27670.094839662415	-1.1889296889307692
2	3	0	0	171753.59326038885	-1.1889296889307692
2	3	0	1	2078.673428780177	-1.1889296889307692
2	3	0	3	-2734.848412159135	-1.1889296889307692
2	3	1	0	914767.8851764839	-1.1889296889307692
2	3	1	1	6236.097039635777	-1.1889296889307692
2	3	1	2	1.1259290928071556e6	-1.1889296889307692
2	3	1	3	-9985.568486611855	-1.1889296889307692
2	3	2	0	6.4613021921769995e6	-1.1889296889307692
2	3	2	1	-113802.02978556784	-1.1889296889307692
2	3	2	2	4.69178952903795e6	-1.1889296889307692
2	3	2	3	-135956.4807779631	-1.1889296889307692
3	0	0	0	12782.028006117762	-1.1889296889307692
3	0	0	1	325.2952169735606	-1.1889296889307692
3	0	0	3	358.0132528226569	-1.1889296889307692
3	0	1	0	295925.6914423301	-1.1889296889307692
3	0	1	1	7004.083995308501	-1.1889296889307692
3	0	1	2	-289261.13339609344	-1.1889296889307692
3	0	1	3	-3633.8566287523877	-1.1889296889307692
3	0	2	0	1.1476008817807676e6	-1.1889296889307692
3	0	2	1	17177.470469530417	-1.1889296889307692
3	0	2	2	-675250.5220950713	-1.1889296889307692
3	0	2	3	22776.44097741201	-1.1889296889307692
3	1	0	0	-117437.27043501432	-1.1889296889307692
3	1	0	1	180.92933220025378	-1.1889296889307692
3	1	0	3	23.116397268636945	-1.1889296889307692
3	1	1	0	-566721.2181478036	-1.1889296889307692
3	1	1	1	-5580.729240763447	-1.1889296889307692
3	1	1	2	-667820.1724751119	-1.1889296889307692
3	1	1	3	-2966.6493183313714	-1.1889296889307692
3	1	2	0	452620.29832639126	-1.1889296889307692
3	1	2	1	-128141.36701782123	-1.1889296889307692
3	1	2	2	391811.0617112551	-1.1889296889307692
3	1	2	3	-103579.84547928176	-1.1889296889307692
3	2	0	0	-60890.166205415175	-1.1889296889307692
3	2	0	1	-1635.4406850877883	-1.1889296889307692
3	2	0	3	3546.7137220533996	-1.1889296889307692
3	2	1	0	1.370102415477814e6	-1.1889296889307692
3	2	1	1	42641.82391851897	-1.1889296889307692
3	2	1	2	-948629.8273494965	-1.1889296889307692
3	2	1	3	22683.480559103446	-1.1889296889307692
3	2	2	0	7.080414508146545e6	-1.1889296889307692
3	2	2	1	-354402.102104183	-1.1889296889307692
3	2	2	2	3.1472795866732295e6	-1.1889296889307692
3	2	2	3	-618856.5285663333	-1.1889296889307692
3	3	0	0	173982.49576853839	-1.1889296889307692
3	3	0	1	-9142.686115375602	-1.1889296889307692
3	3	0	3	2857.393902772706	-1.1889296889307692
3	3	1	0	-596.4827223732351	-1.1889296889307692
3	3	1	1	-119246.00943896995	-1.1889296889307692
