x=chi_perp	y=chi_par	z=eta	v=Mtot	data=Log10[Mean[Mismatch]]	Overall_Training_Rel.Diff. = 0.00325703
x=chi_perp	y=chi_par	z=eta	v=Mtot	Overall_chiSqDoF. = 0.62428	Overall_reduced_Rsq = 0.992667
Coefs_below_for_fit(x,y,z,v)	Use_these_directly	x=x	y=y	z=z	v=v
i	j	k	l	C[i,j,k,l]	Max[Log10[Mismatch]]
3	3	1	2	-1.1235831471057602e6	-1.7125150856847384
3	3	1	3	-44050.552321343624	-1.7125150856847384
3	3	2	0	4.8767846273292275e6	-1.7125150856847384
3	3	2	1	-410864.4815441757	-1.7125150856847384
3	3	2	2	-4.365889270194085e6	-1.7125150856847384
3	3	2	3	-481757.5419034217	-1.7125150856847384
4	0	0	0	-115244.57517873525	-1.7125150856847384
4	0	0	1	-2064.4468739726785	-1.7125150856847384
4	0	0	3	1324.6060270204869	-1.7125150856847384
4	0	1	0	-1.0002613971487477e6	-1.7125150856847384
4	0	1	1	6222.678161863133	-1.7125150856847384
4	0	1	2	-268768.64441754005	-1.7125150856847384
4	0	1	3	-8512.558682369527	-1.7125150856847384
4	0	2	0	-89894.54948548843	-1.7125150856847384
4	0	2	1	50807.674428934864	-1.7125150856847384
4	0	2	2	-108141.38795909256	-1.7125150856847384
4	0	2	3	-39564.868311155326	-1.7125150856847384
4	1	0	0	-138344.83689667526	-1.7125150856847384
4	1	0	1	-1996.9697972525591	-1.7125150856847384
4	1	0	3	1348.1136320534256	-1.7125150856847384
4	1	1	0	-481199.69421614986	-1.7125150856847384
4	1	1	1	30783.121892600324	-1.7125150856847384
4	1	1	2	-392890.44155501056	-1.7125150856847384
4	1	1	3	-47628.93389719479	-1.7125150856847384
4	1	2	0	540045.60351974	-1.7125150856847384
4	1	2	1	187118.8386605755	-1.7125150856847384
4	1	2	2	535356.8969299203	-1.7125150856847384
4	1	2	3	476557.6730959423	-1.7125150856847384
4	2	0	0	393681.904136298	-1.7125150856847384
4	2	0	1	19789.933756711445	-1.7125150856847384
4	2	0	3	-6845.697646479287	-1.7125150856847384
4	2	1	0	-2.5361787163669188e6	-1.7125150856847384
4	2	1	1	-77174.51809334193	-1.7125150856847384
4	2	1	2	-1.1549321996597347e6	-1.7125150856847384
4	2	1	3	85407.21708069705	-1.7125150856847384
4	2	2	0	-9.025280486609489e6	-1.7125150856847384
4	2	2	1	-567383.4611133975	-1.7125150856847384
4	2	2	2	1.8814579019435483e6	-1.7125150856847384
4	2	2	3	-91390.93962414977	-1.7125150856847384
4	3	0	0	180435.51139945665	-1.7125150856847384
4	3	0	1	-72813.20658468848	-1.7125150856847384
4	3	0	3	23701.793838317437	-1.7125150856847384
4	3	1	0	2.316115054298444e6	-1.7125150856847384
4	3	1	1	714941.631517698	-1.7125150856847384
4	3	1	2	-147856.9768489874	-1.7125150856847384
4	3	1	3	258761.16746514672	-1.7125150856847384
4	3	2	0	6.891854298906705e6	-1.7125150856847384
4	3	2	1	213440.55239911925	-1.7125150856847384
4	3	2	2	-121.10206749980635	-1.7125150856847384
4	3	2	3	-17.62636972168974	-1.7125150856847384
5	0	0	0	-201159.92224847467	-1.7125150856847384
5	0	0	1	-1988.9513863203622	-1.7125150856847384
5	0	0	3	312.5955649476873	-1.7125150856847384
5	0	1	0	-1.577729663104757e6	-1.7125150856847384
